,price
248704,12990
1786,21999
65689,821
380733,12590
410489,7995
95887,11990
101267,10999
249438,1700
161839,39998
194036,6250
194742,3000
332597,19995
264976,49991
218482,22595
234401,5500
93037,12995
112036,11995
206449,5800
327378,7950
387605,16900
126816,6500
288788,7500
127302,26495
28623,44990
340189,4695
229564,5000
307108,11500
360633,14988
367908,28999
390161,27992
203942,6900
296679,154
206836,10995
342451,9995
279826,16995
96983,17595
380951,13997
221981,10998
225809,18000
836,39999
285380,3200
61494,43500
31178,2900
212181,18695
369082,13500
391744,6977
31418,10988
85687,6499
302044,12000
280441,4000
253700,12995
87451,18988
171498,14200
390493,40995
41155,7699
207721,32995
1286,4500
31468,14260
286115,5495
409104,12477
216974,6999
136549,22999
285006,16858
242989,50995
34917,18088
325591,4800
391717,4995
230909,6995
325026,12590
389463,35590
327025,30429
45090,1500
380658,24000
349855,23995
296893,6500
274312,21981
330959,22999
415949,7950
326351,21990
278916,18995
92404,18995
406161,1800
229599,1100
147176,22999
339124,26494
380047,21999
255669,11500
405385,26990
44765,10900
3443,7500
168386,14700
335657,10555
9489,7900
64017,10995
328158,29950
340257,18590
193422,8499
304529,3600
288044,8999
204562,13911
116295,34332
42677,7970
360972,11900
334457,21590
406450,11900
78401,42999
175640,6550
21809,29590
226665,21990
303705,34844
30076,6000
376099,32087
146184,43500
355116,24998
56436,6600
35071,44990
82759,3300
335290,14995
206205,14490
230139,338
264207,8995
221696,5600
38487,10500
193741,26000
345837,3995
127101,49995
366135,16000
411456,7995
343310,5000
318003,10995
347331,6795
392242,8995
239103,8999
4177,15995
372071,13499
252354,24994
170365,15499
274827,37981
97015,9199
290284,789
300136,9995
307151,7470
328134,14900
99896,16929
135715,16791
345850,21995
412800,39900
322912,31995
209637,6988
397873,16499
278064,14950
72388,9495
375731,64991
185103,10986
342735,35900
280671,17995
393348,9995
84749,17990
347339,18995
140501,29995
351942,23577
152113,8500
218121,12995
4303,9995
2080,22999
145419,46478
365841,22985
122553,43480
175272,9994
327230,11990
5176,12495
328688,4295
346892,36999
65542,15000
401399,18995
144532,35988
319909,11990
201423,32600
389436,17997
354711,7500
366189,17595
186905,17995
196125,14797
385893,8000
198435,16720
232999,5995
413232,14000
395765,52480
314304,19977
169320,20747
338379,28995
236266,1250
232309,35990
115768,11499
320750,22990
177791,20599
198178,5300
417423,24840
216086,64210
9977,38000
187234,14400
402225,18981
391745,12995
256018,5488
98051,13990
363012,32900
53893,15998
320687,34991
300112,53977
389477,39999
398627,16900
144506,17498
3094,5999
227138,6999
250034,32950
324767,14999
324795,1000
219344,24888
386287,21000
402497,53900
215801,16480
207847,9400
81225,16995
203778,17100
246122,25899
251125,27590
328907,34777
363282,11990
180173,26998
266231,21900
156893,8800
75514,18973
354018,28000
111327,10995
4816,6500
26287,14998
193792,3800
283325,6400
173168,12990
318332,28500
225008,9995
229094,42891
264142,3995
28566,13950
161479,33195
208523,7449
334718,8250
346876,6590
78239,5999
361326,29919
247732,19895
339190,21990
310863,27998
395907,9995
283037,26995
302261,16999
94277,10995
223677,28814
274861,21981
354114,25999
122510,10500
420289,16900
251402,9761
71913,19990
244145,5995
310865,42590
366458,18995
316930,20900
82770,821
397830,7699
417106,8995
285014,6999
243068,21428
411311,19999
336273,38900
103603,32000
252149,39590
1468,2795
87820,259
281083,21995
267920,17990
286314,34590
229162,9600
388262,6950
186385,7995
161492,18998
180470,4900
230970,21677
234652,11995
315458,26998
25093,36997
272875,19579
415553,44950
312366,13888
231561,8997
197411,10295
181083,5000
347911,24612
332448,8100
272649,8200
393880,6800
394301,31995
300841,11905
284726,23980
172834,6998
339969,419
403398,19618
66260,8500
250385,13490
375342,5995
187125,8499
400915,11691
379092,10500
421273,11500
294080,72995
203464,24950
244556,12950
78745,41999
227448,15999
264243,8995
242576,16900
271085,8299
155545,22988
251641,3600
229914,23995
111557,14500
296516,12885
144568,13590
57562,3800
197711,2500
103984,15850
232139,18997
367616,16500
341171,13000
260089,14995
379368,28995
373131,12995
351091,12995
417717,3500
333891,51999
143676,19998
250884,14980
219026,23990
297632,54999
172298,13900
7209,15999
184800,13995
297813,7999
75676,2000
164683,15227
333316,12300
1751,11999
305033,20900
310001,23495
312710,20998
120086,25000
224519,40990
222116,24537
388433,10900
43620,18999
275069,16997
300871,9995
15253,42995
238043,20990
116791,2999
262855,15995
53625,18998
247929,17995
256447,2500
226147,8995
295736,9995
259156,6990
126181,3000
169635,5277
343205,18900
76869,13995
342968,15990
93644,15497
135948,14900
383588,25500
105614,19900
382164,9990
230859,30894
262720,20590
387584,23337
408706,8494
236636,13990
46146,11000
264563,5495
59996,49944
310260,8998
198945,35950
372515,20982
23292,21797
258554,1250
59953,14988
228920,2600
94558,2800
2428,21977
250045,46500
326464,36977
155303,39998
119382,6495
331751,12987
144913,2750
69050,30995
395959,22624
299215,6999
212712,3350
399333,25995
326996,3000
378424,17995
358104,12000
380147,12000
108148,8995
274109,27990
258379,16995
222040,19995
327433,3695
338569,50000
352450,17995
148888,3400
91710,12999
222715,23999
285068,4995
387164,29990
304755,31500
230899,3499
328240,15500
152673,13990
415661,3900
114478,10495
212511,27997
204415,6650
222322,32590
299039,59997
275178,18997
295992,14622
406560,31392
249878,35900
194281,14888
93212,7995
245545,5150
367077,19999
283756,26388
269997,5995
269383,14499
23295,41618
30220,6969
41220,9500
180406,8000
2299,29980
129916,5299
333368,28995
213318,5995
220523,19000
35365,39990
287513,8950
224579,3995
315633,15900
392652,7995
257812,6395
29539,13495
328980,12999
250096,18994
282798,24995
290090,20500
21887,50990
344283,7995
9764,43995
375886,45500
262860,17995
325394,19999
393033,15900
395247,8997
377475,3800
323005,3750
397057,12933
198531,16450
230757,8888
172305,21900
187484,25998
201585,11999
27113,3990
255387,1900
219380,19900
250076,6999
309511,18995
315882,41999
230768,4999
104071,17900
39100,17995
250099,14900
181050,26995
379842,21000
307198,27500
294037,9900
173599,7800
366262,7500
208957,4995
124573,15900
209899,20990
221626,6500
422314,13590
333451,8200
305156,15800
294620,6500
100708,24998
306057,12590
267860,6998
375317,10750
225629,18590
9930,7995
303094,13990
297150,10995
92317,32590
189282,10555
308083,370
259580,4900
211699,11995
218972,17141
145536,9059
71528,8950
236320,7500
252229,18000
278412,39995
359778,8995
213988,24980
53324,19998
211370,3995
100515,26595
267544,22500
328193,17999
293335,10000
145203,1795
201217,27400
237990,26950
205808,27995
132275,39995
101827,11888
296249,15500
26981,40995
417224,21000
347212,45991
251089,14965
353898,47999
216856,6495
398140,15771
6557,23870
177320,2995
101029,21950
182821,10299
285734,15303
304756,16998
340747,34999
137965,24998
91046,4995
245212,35999
410415,4995
335606,20995
240167,10495
365851,17990
383738,17999
394373,14995
397728,37750
314265,9490
321124,42999
409917,18399
64485,4800
7993,1995
325317,450
7417,9900
222242,7200
404823,34998
263696,10900
226306,13500
63141,580
222091,19995
164377,28871
255355,6995
118714,14500
260801,7500
266011,19590
278051,7250
153318,19900
17536,7450
244506,22899
392839,13995
219670,13995
423518,7990
241994,10995
60377,25000
403631,14988
335938,9500
268422,18900
339890,19987
389344,26495
422855,11997
232248,8500
298001,7950
272443,15988
112314,7998
240242,8800
345471,7495
98229,3995
322220,35500
405075,22590
186263,24950
112294,34995
271758,16300
309553,65900
356933,11000
236422,6500
418089,6997
228985,20998
75459,7965
312604,18995
319919,13752
178909,36430
217982,13900
219774,17256
257904,9985
106801,9995
328795,19275
5188,14990
132315,5750
218699,567
79623,9995
15548,6681
407128,16900
314522,7650
225089,12599
310714,10800
370817,22000
280147,34795
74155,28980
264508,1900
391005,26950
285334,12250
357833,20925
248885,17990
341465,34900
248546,11000
357429,8490
384774,18991
423350,6495
166372,19990
249210,8997
100540,29998
152679,60000
341874,14995
102470,3495
233080,33995
388547,12295
145931,4500
478,19990
358518,7995
220408,7000
224878,15995
338345,6995
256735,19999
392022,10495
239032,7999
372651,18400
250336,8500
201147,21675
32193,10491
253081,12995
287124,13950
35097,4495
72046,47999
329049,8998
9534,5695
292032,14997
180177,326
229639,65995
257701,32999
225647,20590
411118,5992
223103,18900
260414,4100
312652,17999
80969,9995
77577,11999
305515,19900
179566,5400
276899,15590
329609,11850
396909,1988
38871,13242
137750,16000
73488,19995
339568,27100
297938,16495
136393,154
367333,8500
233070,11995
213373,9577
121686,8999
398694,62995
355868,37590
218804,462
227629,18590
237540,6900
192341,5495
234240,8400
135193,38990
336030,11300
408265,5500
96970,4995
61510,16995
247007,16995
238319,45950
309756,20990
305062,5995
248677,40990
167247,5500
1704,7900
109692,17950
142624,9990
78798,32990
173091,5998
323028,16590
28550,25950
334780,58625
340047,4495
8086,12595
279113,7600
398960,24250
274246,14990
301386,35888
411115,16500
262221,13900
116666,15383
212455,6999
138613,25990
334823,22999
55977,39480
337874,21000
410671,18300
166753,6090
293507,19500
395036,22995
224174,25900
336169,21888
185950,2900
364943,8900
313309,20700
334010,3500
203878,28990
136975,12995
393356,16590
337557,16590
195456,7900
238621,3350
292519,7990
227912,13995
385877,7995
187780,211
53175,39995
303390,17197
112600,14995
378380,22316
100538,3950
65539,31999
374286,10900
314900,10995
384537,9995
385045,23999
276647,21998
194921,9250
266334,45999
126609,119997
239179,3695
418814,21995
282802,23950
346886,6990
233985,39999
71164,7000
344593,14750
301268,19000
273676,26999
387004,44999
331206,40990
105407,34998
334834,33995
123870,14000
365906,23995
372773,18999
254989,32235
112528,22990
220194,8995
30288,15500
231224,15000
355502,19500
223168,25386
189483,7500
89350,15400
1050,3900
413400,7448
229337,29590
97553,11878
262266,10990
291204,9999
119190,12475
373193,13995
350410,9987
303009,14999
253728,21990
307184,20000
241382,5990
61896,27990
340140,18700
156523,3500
308385,9495
350454,42995
266189,4600
336019,58994
354122,26995
305138,35950
300254,11500
228910,16750
191235,32995
406509,43991
325570,2100
19325,29900
286618,15975
310586,12998
7373,11999
269455,9899
230243,13995
390498,46995
87994,42995
273374,40590
87929,13950
234355,15500
418100,13995
205516,11842
94997,11970
27490,7995
219265,19900
286034,4999
281505,11400
242509,2800
352882,5650
404900,7495
324551,10950
245902,15290
402475,27500
195040,44980
258179,2000
231283,39990
16393,19500
167433,28900
384918,4995
239921,17590
117141,14997
106146,43990
315908,1500
405119,18495
378835,14990
185728,18897
368725,14000
147641,5500
352837,27500
143459,17995
44952,14995
265140,25000
236512,30995
89137,23000
223221,8254
111341,18900
146548,9950
321444,6499
312995,13995
133601,9950
370857,1995
218092,14999
378069,12995
387017,14000
386151,9999
196993,11495
333599,22995
288350,21999
236407,29900
282577,14750
243522,4950
397471,8550
342385,7995
239432,7800
172220,8500
199159,10500
421483,19800
262389,18990
86337,24726
329723,5900
262008,6700
66287,69999
327677,3995
93038,30500
390662,16990
160520,18995
258570,9500
324687,11900
274250,16800
238072,53995
186631,21000
117479,14999
198781,8950
172244,8995
409832,9798
358412,28719
346651,14487
39053,7950
126684,29950
326911,3995
119386,16999
298006,3500
364927,24988
415187,2850
188096,5995
336313,15995
233230,13900
148849,29998
33964,10950
270092,15491
347137,8295
400054,12100
304506,14999
377295,7500
382866,17595
378043,9895
407479,42000
96334,11998
324139,33995
344173,4490
143159,18900
86244,34595
221322,19950
21081,13950
422215,16995
137332,11990
30540,27589
357951,21995
222261,20990
283149,4300
396737,18750
392044,22900
71412,9499
231835,5900
346283,36990
83978,5995
270677,18800
86330,33788
261076,19950
173999,9850
166879,30980
168006,19888
14939,18988
183844,19763
266271,42999
174640,32995
399091,6695
324406,16500
599,11995
375112,9000
116367,13998
240618,10950
259302,14990
78521,28390
300884,12995
370874,11900
130275,6295
264432,10995
355107,15985
292494,121
118841,15995
179218,6900
285254,11500
130365,29999
300823,27990
411588,10999
266845,7880
300036,9995
355581,48988
292753,38888
286090,31999
377791,13995
304857,6788
171036,10000
397999,5700
249679,18990
263027,21990
422905,6400
6799,39995
147804,14990
413253,14700
205939,13950
87497,8495
277551,8495
394865,9995
157534,38900
171242,16699
297544,6995
339791,11850
2214,41999
244704,19983
149056,4999
360329,12700
368866,13999
305061,7995
269176,16995
16551,7999
295713,40995
23907,14500
45147,17995
380835,2450
379820,39999
104549,34986
211309,13990
137906,13998
138794,14997
315756,6800
117709,9775
351542,7000
420353,18995
261670,21900
348074,8550
221783,21995
32234,55301
87775,9900
206574,23599
410340,17632
370507,11895
321701,26999
83600,2800
11540,13588
190706,13950
102250,15980
288557,16998
348277,18598
401083,19995
293397,20999
254227,32988
282578,23495
181354,4913
142254,29995
342059,13999
232722,8900
387799,29999
408306,12995
69585,12590
379480,33999
157954,3600
357892,10500
135292,15900
343401,8995
392876,7995
263988,26595
203171,11499
314674,26999
121227,7400
250348,19995
153249,19590
248372,9000
302226,5450
383091,14590
274152,7499
381989,20191
357084,35000
211863,28900
314211,16500
385597,13000
284443,28931
389043,5600
299074,11787
312372,22888
410131,10500
351523,10995
297821,27990
130876,23000
336997,11990
137848,15999
157957,7995
106610,32998
279897,14488
404934,14617
215085,27990
226703,7900
267173,38999
378222,55995
412614,19934
418629,28980
72737,16995
223896,7600
224488,7995
353659,18999
275911,16998
299935,3950
160979,6995
193321,20988
184586,8750
204784,11999
254715,12995
294317,42995
276384,7900
380771,4500
285,18200
148989,6200
400902,39950
212591,11999
421932,5500
167437,21000
296866,2995
160173,6400
34226,18950
52510,18590
246212,23000
257739,25000
247223,13900
279057,7999
202139,33980
351955,21997
407943,12995
406729,8500
172252,6900
376921,16250
185398,13995
193420,41495
86509,5495
119298,22000
121291,10995
75354,17500
332586,5995
260376,4250
129771,31995
300068,9995
257008,16708
209588,14911
389050,14500
223891,8600
314171,35995
341203,38000
115142,24999
93259,16740
244946,14900
259628,5495
192484,12790
368429,11995
290131,61995
137948,22999
170847,24999
335034,13990
143275,13849
308680,2995
330210,900
123237,6400
43622,10999
324901,10777
61466,17000
179967,24995
180201,26498
332360,3500
413151,12995
352405,11995
213839,11999
311389,9499
392928,9990
244769,7000
253042,9000
311723,25500
222928,30429
53941,24597
86566,7997
100375,8495
34407,2500
334143,5900
170401,277
13621,66999
388964,9000
139720,28980
218079,19995
118452,7900
325700,5250
20842,46280
140167,241
65558,13995
351779,7995
295775,26500
83115,4000
402879,8800
375193,8400
240005,14990
296876,18000
253274,28999
281919,5750
333679,6999
418157,7900
328967,13590
376966,21990
200766,22991
315213,37999
315583,34888
287784,18990
323760,18995
96227,33949
138023,19431
54743,4550
203475,25950
99101,6999
290095,9995
273378,31590
409722,20995
255091,8995
184000,15990
262048,17799
227988,8995
182338,13988
312348,35992
127756,14590
400106,4995
199085,20162
218885,14895
274434,41995
16990,17900
179654,24985
3633,6800
332039,33999
274499,442
208256,16100
202397,26995
409591,11988
41009,6500
278042,5400
423528,20500
341970,25995
322051,11990
5679,4800
290491,15500
131770,33995
266669,8695
344399,22950
228860,28997
130301,8299
21563,5850
235652,6801
340855,51999
406912,30975
135352,5995
214390,51998
170029,18747
103101,24500
396270,45995
206065,4950
423381,21000
283808,2495
38609,23995
356353,21950
194305,21999
236658,16800
257929,16500
402104,14800
378114,6500
352243,177
178682,6500
134114,17995
399438,12900
347460,19000
59795,12995
288793,11975
48403,24994
24635,10980
115765,32990
337489,4795
319155,14260
303022,14997
368318,5950
167120,17487
215689,6500
197443,23000
354668,16495
315126,5999
245848,8999
75616,34995
293905,19995
391937,8900
118722,21999
185701,3900
367930,39999
192657,25895
181210,33888
152345,8995
110630,21950
306322,14995
325646,17000
315157,19000
89488,37995
349820,4960
244181,6495
342168,49980
226227,17599
106825,2495
334569,19177
241583,8888
271722,12200
355013,25865
386734,10995
28313,7988
157340,14000
73420,27900
246425,7699
5630,35999
421676,13895
231659,8950
106633,24590
196952,51915
206460,17691
420649,19900
241159,35286
211443,26999
261212,6400
194849,18995
393860,17988
266162,24900
15440,9500
396237,14997
300100,3500
34015,13990
195803,13900
406662,24590
209760,34999
163697,6999
239114,7499
197968,8998
208872,38997
376835,21488
2646,19998
141645,7499
403630,32988
188984,9988
323001,5850
300323,14980
379309,5995
357340,5995
142651,25000
350563,4400
405568,9700
184660,24590
8218,5200
383955,17000
388227,12500
402138,4550
394587,16995
